DS_PS_Ids	DS_PS_LFC	DS_PS_Genus	AN_PS_Ids	AN_PS_LFC	AN_PS_Genus	DS_Ne_IDs	DS_Ne_LFC	DS_Ne_Genus	AN_Ne_IDs	AN_Ne_LFC	AN_Ne_Genus	DS_Ba_IDs	DS_Ba_LFC	DS_Ba_Genus	AN_Ba_IDs	AN_Ba_LFC	AN_Ba_Genus
2487345	5.365774641	Tatumella	563	3.165419864	Shimwellia	1790137	3.420534174	Wenyingzhuangia	762954	2.019808714	Siansivirga	91604	4.089809204	Candidatus Paracaedibacter	762954	2.365742987	Siansivirga
2487150	5.359236351	Metakosakonia	2487150	3.154365258	Metakosakonia	2686361	3.378954993	Polaribacter				1803846	4.031407931	Flavivirga	639310	2.354461427	Olleya
563	5.330556025	Shimwellia	82983	3.111951985	Obesumbacterium	1241981	3.361721847	Epilithonimonas				979	4.023027152	Cellulophaga	584609	2.312514424	Tenacibaculum
413496	5.255715282	Cronobacter	413496	3.09950913	Cronobacter	1628248	3.346840475	Empedobacter				1936081	4.009924128	Seonamhaeicola	979	2.290557772	Cellulophaga
584	5.188221532	Proteus	2487345	2.995262994	Tatumella	76831	3.332591119	Myroides				320324	4.007757933	Formosa	2764720	2.255292461	Olivibacter
1805933	5.094452858	Rahnella	2570561	2.977660611	Psychroserpens	528	3.31773753	Ochrobactrum				2736252	3.896604941	Aquimarina	320324	2.251242407	Formosa
160674	5.059680905	Raoultella	1805933	2.959374259	Rahnella	76594	3.289704454	Cellulophaga				382	3.889624472	Sinorhizobium	2686365	2.230974804	Algibacter
254	5.003626731	Chryseobacterium	160674	2.938810619	Raoultella	762954	3.216940896	Siansivirga				2686365	3.867451423	Algibacter	1803846	2.213123959	Flavivirga
2766984	4.928872686	Pedobacter	2766984	2.934284905	Pedobacter	296591	3.196784005	Polaromonas				1622118	3.847804279	Lutibacter	1936081	2.20948775	Seonamhaeicola
665914	4.87272631	Mixta	622	2.850854485	Shigella	669041	3.166309379	Tenacibaculum				2686077	3.778380105	Winogradskyella	2736252	2.191853126	Aquimarina
91604	4.833468213	Candidatus Paracaedibacter	399	2.818601233	Neorhizobium	208223	3.159982578	Kosakonia				217203	3.774637442	Achromobacter	208223	2.17951887	Kosakonia
